year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2009,1,MI,Michigan,Physical Activity,Physical Education Requirements,School/After School,Health Education,Dead,H4924,3,"(Abstract - Revises health education requirements.), (BillHistory - 05/12/2009 - INTRODUCED.;05/12/2009 - To HOUSE Committee on EDUCATION.)",61,LEG,003PA,036PER,004SAS,341,"(44.661319543001, -84.71439027)"
2009,1,IL,Illinois,Obesity,Food Restrictions,Community,Fiscal Year 2010 Budget,Dead,H4581,3,"(Abstract - Enacts the FY 2010 budget. Makes appropriations and reappropriations for specified purposes.), (BillHistory - 05/30/2009 - INTRODUCED.;05/31/2009 - To HOUSE Committee on RULES.)",35,LEG,002OB,020FOR,002COM,204,"(40.485010283, -88.997710178)"
2009,1,MA,Massachusetts,Nutrition,Farmers Markets,Community,Farmers' Markets,Dead,HD4106,3,"(Abstract - Relates to farmers' markets.), (BillHistory - 03/20/2009 - FILED.;03/20/2009 - Assigned HOUSE Bill No. 4002.)",9,LEG,001NUT,016FAM,002COM,1614,"(42.27687047, -72.082690675)"
2009,1,MA,Massachusetts,Nutrition,Trans Fats,School/After School,Trans Fat in School Served Products,Dead,HD1250,3,"(Abstract - Relates to trans fat in school served products.), (BillHistory - 01/07/2009 - FILED.)",24,LEG,001NUT,050FAT,004SAS,267,"(42.27687047, -72.082690675)"
2010,1,NY,New York,Obesity,Appropriations,Restaurant/Retail,Prohibited Food Stamp Purchases,Dead,A10965,3,"(Abstract - Prohibits the purchase of food items which are not nutritional with food stamps. ), (BillHistory - 05/05/2010 - INTRODUCED.;05/05/2010 - To ASSEMBLY Committee on SOCIAL SERVICES.)",28,LEG,002OB,002APP,006RES,3017,"(42.827001032, -75.543970427)"
2009,1,TX,Texas,Obesity,Food Restrictions,School/After School,Farm to School Coordination Task Force,Dead,H1840,3,"(Abstract - Relates to the establishment of an interagency farm-to-school coordination task force.), (BillHistory - 02/25/2009 - INTRODUCED.;03/04/2009 - To HOUSE Committee on AGRICULTURE AND LIVESTOCK.)",35,LEG,002OB,020FOR,004SAS,2035,"(31.827240407, -99.426770206)"
2011,1,NY,New York,Obesity,Food Restrictions,Community,Regional Development,Dead,A1319,3,"(Abstract - Makes provisions on planning and development of regionally based urban and regional farmers' markets facilities.  ), (BillHistory - 01/07/2011 - INTRODUCED.;01/07/2011 - To ASSEMBLY Committee on ECONOMIC DEVELOPMENT.)",35,LEG,002OB,020FOR,002COM,4291,"(42.827001032, -75.543970427)"
2009,1,CO,Colorado,Nutrition,Appropriations,School/After School,Beverage Policy,Enacted,R10099,1,"(Abstract - Describes the beverages that school districts and schools may permit to be sold to students. Describes specific events occurring outside of the regular and extended school day.), (BillHistory - )",2,REG,001NUT,002APP,004SAS,2380,"(38.843840757, -106.133610921)"
2009,1,MN,Minnesota,Nutrition,Appropriations,Community,Agriculture,Dead,H2075,3,"(Abstract - Relates to agriculture, creates a commission on local foods, requires a report.), (BillHistory - 03/23/2009 - INTRODUCED.;03/23/2009 - To HOUSE Committee on AGRICULTURE, RURAL ECONOMIES AND VETERANS AFFAIRS FINANCE.)",2,LEG,001NUT,002APP,002COM,1371,"(46.355648736, -94.794200503)"
2010,1,KY,Kentucky,Obesity,Food Restrictions,Community,Honor Farmers/Food Checkout Week,Enacted,SR113,1,"(Abstract - Honors farmers in the state and recognizes February 21 to 27, 2010, as Food Checkout Week. ), (BillHistory - 02/08/2010 - INTRODUCED.;02/18/2010 - Passed SENATE.)",35,LEG,002OB,020FOR,002COM,2643,"(37.645970271, -84.774971048)"
2010,1,KY,Kentucky,Physical Activity,Bicycling,Community,Bicycle and Bikeway Program,Enacted,R19202,1,"(Abstract - Establishes procedures related to the Bicycle and Bikeway Program. ), (BillHistory - )",50,REG,003PA,005BIK,002COM,3338,"(37.645970271, -84.774971048)"
2010,1,TX,Texas,Obesity,Sugar Sweetened Beverages,Early Care and Education,Nutrition And Food Service,Enacted,R18528,1,"(Abstract - Amends rules concerning the basic requirements for snack and meal-times, how often to feed children in care, and serving powdered milk and fruit or vegetable juices. ), (BillHistory - )",43,REG,002OB,046SSB,001ECE,3461,"(31.827240407, -99.426770206)"
2009,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),School/After School,Student Nutrition and Wellness,Dead,HD1736,3,"(Abstract - Relates to student nutrition and wellness. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 446.)",29,LEG,002OB,006BMI,004SAS,2689,"(42.27687047, -72.082690675)"
2009,1,CO,Colorado,Nutrition,Agriculture and Farming,Community,Long Appropriations Bill,Enacted,S259,1,"(Abstract - Enacts the Long Appropriations Bill.), (BillHistory - 06/22/2009 - Session Law Chaptered.  Chapter No. 464)",10,LEG,001NUT,017AGF,002COM,2282,"(38.843840757, -106.133610921)"
2009,1,NY,New York,Obesity,Appropriations,Community,Jerome Park Reservoir,Dead,A1133,3,"(Abstract - Dedicates the tract of land known as Jerome Park Reservoir in the borough of the Bronx as park land of the city of New York. ), (BillHistory - 01/07/2009 - INTRODUCED.;01/07/2009 - To ASSEMBLY Committee on TOURISM, ARTS AND SPORTS DEVELOPMENT.)",28,LEG,002OB,002APP,002COM,2270,"(42.827001032, -75.543970427)"
2010,1,NJ,New Jersey,Obesity,Appropriations,Community,Transit Villages Act,Dead,A2825,3,"(Abstract - Relates New Jersey Transit Villages Act. ), (BillHistory - 05/20/2010 - FILED.;06/10/2010 - INTRODUCED.;06/10/2010 - To ASSEMBLY Committee on TRANSPORTATION, PUBLIC WORKS AND INDEPENDENT AUTHORITIES.)",28,LEG,002OB,002APP,002COM,2964,"(40.130570048, -74.273691288)"
2009,1,MA,Massachusetts,Nutrition,School Nutrition,School/After School,School Nutrition,Dead,HD638,3,"(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",21,LEG,001NUT,043SNU,004SAS,2693,"(42.27687047, -72.082690675)"
2009,1,TX,Texas,Obesity,Appropriations,Community,Partnership for Children in Nature,Dead,H3271,3,"(Abstract - Relates to the Partnership for Children in Nature.), (BillHistory - 03/10/2009 - INTRODUCED.;03/18/2009 - To HOUSE Committee on CULTURE, RECREATION, AND TOURISM.)",28,LEG,002OB,002APP,002COM,2046,"(31.827240407, -99.426770206)"
2010,1,OK,Oklahoma,Nutrition,Task Forces/Councils,Restaurant/Retail,Food Availability,Dead,S1352,3,"(Abstract - Relates to food availability, creates the Rural Food Desert Task Force. ), (BillHistory - 01/05/2010 - PREFILED.;02/01/2010 - INTRODUCED.;02/02/2010 - To SENATE Committee on AGRICULTURE AND RURAL DEVELOPMENT.)",23,LEG,001NUT,047TFC,006RES,517,"(35.472031356, -97.521070214)"
2008,1,NH,New Hampshire,Nutrition,Medical Care,Community,Bicycles on Roadways,Dead,LSR638,3,"(Abstract - Relates to the operation of bicycles on roadways.), (BillHistory - 12/02/2008 - FILED.)",16,LEG,001NUT,026MEC,002COM,429,"(43.655950113, -71.50036092)"
2011,1,UT,Utah,Nutrition,Appropriations,Community,Short Title - State Food Stamps Program,Dead,S193,3,"(Abstract - (Short Title) Relates to state food stamps program for farmers' market.   ), (BillHistory - 02/05/2011 - INTRODUCED.)",2,LEG,001NUT,002APP,002COM,4690,"(39.360700171, -111.587130635)"
2009,1,MN,Minnesota,Physical Activity,Pedestrians/Walking,Community,Capital Improvements,Dead,S844,3,"(Abstract - Relates to capital improvements, authorizes the sale and issuance of bonds, appropriates money to construct trails in Ramsey County.), (BillHistory - 02/19/2009 - INTRODUCED.;02/19/2009 - To SENATE Committee on FINANCE.)",69,LEG,003PA,052PED,002COM,1976,"(46.355648736, -94.794200503)"
2009,1,NJ,New Jersey,Obesity,Initiatives and Programs,School/After School,Childhood Obesity Prevention,Dead,S2911,3,"(Abstract - Designates State Coordinator for Childhood Obesity Prevention and Awareness.), (BillHistory - 06/11/2009 - FILED.;06/15/2009 - INTRODUCED.;06/15/2009 - To SENATE Committee on HEALTH, HUMAN SERVICES AND SENIOR CITIZENS.)",46,LEG,002OB,053INP,004SAS,1549,"(40.130570048, -74.273691288)"
2011,1,MA,Massachusetts,Nutrition,Farm Direct Foods,School/After School,Healthy School Meals,Dead,HD1500,3,"(Abstract - Promotes healthy school meals.   ), (BillHistory - 01/20/2011 - FILED.;01/20/2011 - Assigned HOUSE Bill No. 1056)",8,LEG,001NUT,015FDF,004SAS,4051,"(42.27687047, -72.082690675)"
2010,1,HI,Hawaii,Nutrition,Farmers Markets,Community,Aliomanu Road Reconstruction,Dead,S2060,3,"(Abstract - Authorizes the issuance of General Obligation bonds for the County of Kauai. ), (BillHistory - 01/20/2010 - INTRODUCED.;01/20/2010 - To SENATE Committee on WAYS AND MEANS.)",9,LEG,001NUT,016FAM,002COM,2570,"(21.304850435, -157.857749403)"
2010,1,MA,Massachusetts,Nutrition,School Nutrition,School/After School,School Nutrition,Dead,S2322,3,"(Abstract - Relates to school nutrition. ), (BillHistory - 03/11/2010 - INTRODUCED.;03/11/2010 - New Text of H 4459.)",21,LEG,001NUT,043SNU,004SAS,293,"(42.27687047, -72.082690675)"
2009,1,TX,Texas,Obesity,Appropriations,School/After School,Curriculum Requirements,Enacted,R16691,1,"(Abstract - Establishes additional requirements for high school health classes.), (BillHistory - )",28,REG,002OB,002APP,004SAS,2362,"(31.827240407, -99.426770206)"
2009,1,NY,New York,Obesity,Appropriations,School/After School,Physical Education Instruction,Enacted,R20467,1,"(Abstract - Amends rule to revise physical education instruction requirements for elementary programs and establish qualifications and appropriate training of coaches.), (BillHistory - )",28,REG,002OB,002APP,004SAS,2399,"(42.827001032, -75.543970427)"
2009,1,NY,New York,Nutrition,Task Forces/Councils,School/After School,Office Of Nutrition And Fitness,Dead,A3095,3,"(Abstract - Establishes the office of nutrition and fitness. ), (BillHistory - 01/22/2009 - INTRODUCED.;01/22/2009 - To ASSEMBLY Committee on GOVERNMENTAL OPERATIONS.)",23,LEG,001NUT,047TFC,004SAS,3026,"(42.827001032, -75.543970427)"
2011,1,CT,Connecticut,Obesity,Liability and Indemnity,Restaurant/Retail,Tax on Soft Drinks,Dead,S256,3,"(Abstract - Concerns a tax on soft drinks, imposes a tax on soft drinks.   ), (BillHistory - 01/19/2011 - INTRODUCED.;01/20/2011 - To JOINT Committee on FINANCE, REVENUE AND BONDING.)",39,LEG,002OB,030LAI,006RES,3637,"(41.56266102, -72.649840952)"
2009,1,MI,Michigan,Physical Activity,Public Transportation,Community,Regional Transportation Authority,Dead,S1031,3,"(Abstract - Establishes regional transportation authority in Detroit region. ), (BillHistory - 12/17/2009 - INTRODUCED.;12/17/2009 - To SENATE Committee on TRANSPORTATION.)",63,LEG,003PA,040TRS,002COM,2782,"(44.661319543001, -84.71439027)"
2008,1,VT,Vermont,Physical Activity,Initiatives and Programs,Work Place,Senate Resolution <br>,Enacted,SR27,1,"(Abstract - Designates April 30 as National Walk@Lunch Day and encourages all Vermonters to recognize the importance of walking in a healthy lifestyle. ), (BillHistory - Bill History Unavailable)",70,LEG,003PA,053INP,005WKP,5755,"(43.625381239, -72.517640791)"
2010,1,VA,Virginia,Nutrition,Medical Care,Community,Route 1 Corridor,Dead,HJR119,3,"(Abstract - Establishes a joint subcommittee to study the creation of a U.S. Route 1 Corridor. ), (BillHistory - 01/13/2010 - INTRODUCED.;01/13/2010 - To HOUSE Committee on RULES.;02/16/2010 - Left in committee.)",16,LEG,001NUT,026MEC,002COM,3228,"(37.542680674, -78.457890463)"
2010,1,TX,Texas,Obesity,Portion Size,Early Care and Education,Nutrition And Food Service,Enacted,R18528,1,"(Abstract - Amends rules concerning the basic requirements for snack and meal-times, how often to feed children in care, and serving powdered milk and fruit or vegetable juices. ), (BillHistory - )",42,REG,002OB,038POS,001ECE,3461,"(31.827240407, -99.426770206)"
2009,1,TX,Texas,Obesity,Appropriations,School/After School,Physical Education Curriculum,Dead,H3741,3,"(Abstract - Relates to physical education curriculum and instruction in public schools.), (BillHistory - 03/12/2009 - INTRODUCED.;03/19/2009 - To HOUSE Committee on PUBLIC EDUCATION.)",28,LEG,002OB,002APP,004SAS,2224,"(31.827240407, -99.426770206)"
2010,1,NE,Nebraska,Physical Activity,Physical Education Requirements,School/After School,Accreditation,Enacted,R1717,1,"(Abstract - Amends rules concerning the accreditation of schools. Specifies goals for Physical Education curriculum in elementary, middle, and secondary schools.), (BillHistory - )",61,REG,003PA,036PER,004SAS,3385,"(41.641040988001, -99.365720623)"
2010,1,OR,Oregon,Obesity,Body Mass Index (BMI),Community,Multimodal Transportation Fund Program,Enacted,R32193,1,"(Abstract - Proposes rules regarding the Multimodal Transportation Fund Program earnings. Dedicates program earnings to passenger rail and rail projects. Relates to lottery bond proceeds.  ), (BillHistory - )",29,REG,002OB,006BMI,002COM,4840,"(44.567449424, -120.155031326)"
2009,1,LA,Louisiana,Nutrition,Appropriations,Community,Residential Licensing,Enacted,R11863,1,"(Abstract - Amends rules relating to residential licensing and emergency shelters. Refers to child caring agencies offering emergency shelter care to children.), (BillHistory - )",2,REG,001NUT,002APP,002COM,2332,"(31.312660644, -92.445680071)"
2010,1,MI,Michigan,Obesity,Food Restrictions,School/After School,School Grant Program,Dead,H6040,3,"(Abstract - Creates farm-to-school grant program. ), (BillHistory - 04/13/2010 - INTRODUCED.;04/13/2010 - To HOUSE Committee on AGRICULTURE.)",35,LEG,002OB,020FOR,004SAS,348,"(44.661319543001, -84.71439027)"
2010,1,HI,Hawaii,Physical Activity,Public Safety,Community,Parking in Bicycle Paths,Dead,HCR257,3,"(Abstract - Requests the city and county of Honolulu to enforce prohibitions to deter parking in bicycle paths. ), (BillHistory - 03/10/2010 - INTRODUCED.;03/12/2010 - To HOUSE Committee on TRANSPORTATION.)",62,LEG,003PA,039SAF,002COM,2060,"(21.304850435, -157.857749403)"
2009,1,MI,Michigan,Obesity,Food Restrictions,School/After School,School Soft Drink Ban,Dead,S279,3,"(Abstract - Prohibits sale or distribution of soft drinks to students in schools.), (BillHistory - 02/19/2009 - INTRODUCED.;02/19/2009 - To SENATE Committee on EDUCATION.)",35,LEG,002OB,020FOR,004SAS,1344,"(44.661319543001, -84.71439027)"
2011,1,MT,Montana,Obesity,Liability and Indemnity,Restaurant/Retail,Soft Drink and Sugared Beverage Excise Tax,Dead,D1204,3,"(Abstract - Implements soft drink and sugared beverage excise tax, relates to sales taxation. ), (BillHistory - 12/02/2010 - Draft request received.;12/03/2010 - Draft on Hold.)",39,LEG,002OB,030LAI,006RES,2891,"(47.066528972, -109.424420645)"
2011,1,MI,Michigan,Nutrition,Breastfeeding,Community,Breastfeeding in Public,Dead,S554,3,"(Abstract - Protects breastfeeding in public as a civil right.   ), (BillHistory - 06/30/2011 - INTRODUCED.;06/30/2011 - To SENATE Committee on JUDICIARY.)",4,LEG,001NUT,007BFD,002COM,4104,"(44.661319543001, -84.71439027)"
2010,1,AK,Alaska,Obesity,Appropriations,School/After School,Physical Education Standards,Enacted,R3980,1,"(Abstract - Establishes new regulations concerning physical education standards. ), (BillHistory - )",28,REG,002OB,002APP,004SAS,3292,"(64.845079957001, -147.722059036)"
2009,1,MN,Minnesota,Physical Activity,Built Environment and Street-Scale Design,Community,Natural Resources,Dead,H2004,3,"(Abstract - Relates to natural resources, appropriates money for a bicycle and pedestrian trail grant.), (BillHistory - 03/23/2009 - INTRODUCED.;03/23/2009 - To HOUSE Committee on FINANCE.)",68,LEG,003PA,049BED,002COM,1370,"(46.355648736, -94.794200503)"
2010,1,ID,Idaho,Nutrition,Media Campaigns,Community,Community Infrastructure Districts,Dead,H536,3,"(Abstract - Amends and repeals existing law relating to community infrastructure districts. ), (BillHistory - 02/15/2010 - INTRODUCED.;02/16/2010 - To HOUSE Committee on LOCAL GOVERNMENT.)",19,LEG,001NUT,031MDC,002COM,2581,"(43.682630005, -114.363730042)"
2012,1,IL,Illinois,Obesity,Food Restrictions,Restaurant/Retail,An Act Concerning Health  <br>,Dead,H5700,3,"(Abstract - Prohibits artificial trans fat from being served in retail establishments, with exceptions, and in school vending machines.), (BillHistory - 02/16/2012 INTRODUCED; 02/16/2012 To HOUSE Committee on RULES.)",35,LEG,002OB,020FOR,006RES,5595,"(40.485010283, -88.997710178)"
2011,1,NY,New York,Obesity,Appropriations,Community,Surcharge for Parking in a Bicycle Lane,Dead,S3938,3,"(Abstract - Relates to violations and a mandatory surcharge for parking in a bicycle lane. Applies to stopping or standing of motor vehicles as well.  ), (BillHistory - 03/10/2011 - INTRODUCED.;03/10/2011 - To SENATE Committee on CITIES.)",28,LEG,002OB,002APP,002COM,4403,"(42.827001032, -75.543970427)"
2011,1,NY,New York,Nutrition,Appropriations,School/After School,School Body Mass Index Analysis,Dead,A922,3,"(Abstract - Requires schools to implement a method to measure, report, and analyze the body mass index of its students.  ), (BillHistory - 01/05/2011 - INTRODUCED.;01/05/2011 - To ASSEMBLY Committee on EDUCATION.)",2,LEG,001NUT,002APP,004SAS,4365,"(42.827001032, -75.543970427)"
2010,1,WA,Washington,Obesity,Food Restrictions,Restaurant/Retail,Food Systems,Enacted,EO10,1,"(Abstract - Provides for the repealing of tax increases on certain processed foods, bottled water, candy, and carbonated beverages enacted by the 2010 legislature. ), (BillHistory - Initiative approved by voters 11/02/2010)",35,LEG,002OB,020FOR,006RES,3492,"(47.522278629, -120.47001079)"
2011,1,TX,Texas,Physical Activity,Public Transportation,Community,Bicycle Accommodation,Dead,H3731,3,"(Abstract - Relates to the accommodation of bicycles, pedestrians, and mass transit riders on streets and highways.   ), (BillHistory - 03/11/2011 - INTRODUCED.;03/23/2011 - To HOUSE Committee on TRANSPORTATION.)",63,LEG,003PA,040TRS,002COM,4638,"(31.827240407, -99.426770206)"
2011,1,WV,West Virginia,Nutrition,Access to Healthy Foods,Community,Sales Tax on Food,Dead,H2977,3,"(Abstract - Eliminates the sales tax on food effective July 1, 2011.   ), (BillHistory - 02/01/2011 - INTRODUCED.;02/01/2011 - To HOUSE Committee on FINANCE.)",1,LEG,001NUT,001AHF,002COM,4781,"(38.665510202, -80.712640135)"
2009,1,MI,Michigan,Nutrition,Trans Fats,Community,Fitness Credit,Dead,H4109,3,"(Abstract - Provides an income tax deduction for fitness center memberships and exercise equipment.), (BillHistory - 01/22/2009 - INTRODUCED.;01/22/2009 - To HOUSE Committee on TAX POLICY.)",24,LEG,001NUT,050FAT,002COM,335,"(44.661319543001, -84.71439027)"
2010,1,HI,Hawaii,Obesity,Food Restrictions,Restaurant/Retail,Aliomanu Road Reconstruction,Dead,S2060,3,"(Abstract - Authorizes the issuance of General Obligation bonds for the County of Kauai. ), (BillHistory - 01/20/2010 - INTRODUCED.;01/20/2010 - To SENATE Committee on WAYS AND MEANS.)",35,LEG,002OB,020FOR,006RES,2570,"(21.304850435, -157.857749403)"
2009,1,TX,Texas,Physical Activity,Bicycling,School/After School,Specialty License Plates,Dead,H1834,3,"(Abstract - Relates to specialty license plates supporting the Safe Routes to School Program.), (BillHistory - 02/25/2009 - INTRODUCED.;03/04/2009 - To HOUSE Committee on TRANSPORTATION.)",50,LEG,003PA,005BIK,004SAS,2034,"(31.827240407, -99.426770206)"
2009,1,MT,Montana,Nutrition,Farm Direct Foods,Community,Farmers Market Laws,Dead,D1501,3,"(Abstract - Revises farmer's market laws.), (BillHistory - 12/04/2008 - Draft request received.;12/11/2008 - Draft on Hold.)",8,LEG,001NUT,015FDF,002COM,926,"(47.066528972, -109.424420645)"
2009,1,MA,Massachusetts,Obesity,Health Insurance Coverage,School/After School,State Funded School Buildings,Dead,SD379,3,"(Abstract - Relates to public access to state funded school buildings.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned SENATE Bill No. 252.)",37,LEG,002OB,028HIC,004SAS,1882,"(42.27687047, -72.082690675)"
